,GWA Title,m1_pred,m2_pred,m3_pred,m4_pred
18834,Performing General Physical Activities,Assisting and Caring for Others,Controlling Machines and Processes,Performing General Physical Activities,Controlling Machines and Processes
18835,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources
18836,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18837,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18838,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18839,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
18840,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18841,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18842,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
18843,"Inspecting Equipment, Structures, or Materials",Thinking Creatively,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18844,Handling and Moving Objects,Assisting and Caring for Others,Assisting and Caring for Others,Performing General Physical Activities,Performing General Physical Activities
18845,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
18846,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates"
18847,Working with Computers,Working with Computers,Documenting/Recording Information,Controlling Machines and Processes,Documenting/Recording Information
18848,Documenting/Recording Information,Working with Computers,Documenting/Recording Information,Controlling Machines and Processes,Documenting/Recording Information
18849,Handling and Moving Objects,Controlling Machines and Processes,"Inspecting Equipment, Structures, or Materials",Controlling Machines and Processes,Handling and Moving Objects
18850,Handling and Moving Objects,Controlling Machines and Processes,"Inspecting Equipment, Structures, or Materials",Controlling Machines and Processes,Handling and Moving Objects
18851,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects
18852,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects
18853,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
18854,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Assisting and Caring for Others
18855,Repairing and Maintaining Mechanical Equipment,"Inspecting Equipment, Structures, or Materials",Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
18856,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
18857,Handling and Moving Objects,Handling and Moving Objects,Monitoring and Controlling Resources,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects
18858,Handling and Moving Objects,"Communicating with Supervisors, Peers, or Subordinates",Documenting/Recording Information,Monitoring and Controlling Resources,"Guiding, Directing, and Motivating Subordinates"
